gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2844632724	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/165734503	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Sarapiquí		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.451998	-84.058308	100.0						2018-07-27T00:00:00	27	7	2018	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.165734503				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:32.119Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844550327	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/166788882	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - La Selva Reserve		PRESENT	6	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.431228	-84.004707	25.0						2019-01-19T00:00:00	19	1	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.166788882				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:16.705Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844543505	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/170871564	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Sarapiquí		PRESENT	4	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.431178	-84.003064	65.0						2019-04-13T00:00:00	13	4	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.170871564				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:16.358Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844437936	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/171063172	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Sarapiquí		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.440672	-84.007587	100.0						2019-03-15T00:00:00	15	3	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.171063172				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:23.496Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844432508	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/174200326	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Tortuguero		PRESENT	30	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.539516	-83.503876	25.0						2019-06-06T00:00:00	6	6	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.174200326				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:36.775Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844431082	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/171248490	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Tortuguero		PRESENT	8	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.541082	-83.502395	10.0						2019-03-17T00:00:00	17	3	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.171248490				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:18.213Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844415444	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/164672614	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - La Selva Reserve		PRESENT	3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.430817	-84.005534	10.0						2018-07-24T00:00:00	24	7	2018	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.164672614				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:16.091Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844236099	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/169916105	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Sarapiquí		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.434595	-84.002323	10.0						2018-03-07T00:00:00	7	3	2018	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.169916105				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:11.226Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844204158	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/168901122	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Tortuguero		PRESENT	4	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.541935	-83.501595	25.0						2019-03-22T00:00:00	22	3	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.168901122				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:13.377Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844190037	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/149320638	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Sarapiquí		PRESENT	3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.450771	-84.068839	25.0						2018-03-05T00:00:00	5	3	2018	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.149320638				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:30.451Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844162055	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/188607307	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Limón		PRESENT	21	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.583284	-83.521191	94.0						2017-12-26T00:00:00	26	12	2017	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.188607307				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:24.607Z	StillImage	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844101527	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/169110164	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus	ambiguus	SUBSPECIES	Ara ambiguus ambiguus	Ara ambiguus ambiguus		CR	Costa Rica - Tortuguero		PRESENT	5	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.546871	-83.504995	100.0						2019-01-24T00:00:00	24	1	2019	6170723	5959233	HUMAN_OBSERVATION		Observations	OBS.169110164				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:38.417Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844027000	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/185102114	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Sarapiquí		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.434044	-84.004828	10.0						2019-02-20T00:00:00	20	2	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.185102114				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:59.735Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844003434	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/167025370	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Sarapiquí		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.438922	-84.009201	25.0						2019-01-19T00:00:00	19	1	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.167025370				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:20.641Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
